Gmt time,Open,High,Low,Close,Volume
15.07.2019 00:00:00.000,1.12714,1.12748,1.12704,1.12742,5306740234
15.07.2019 01:00:00.000,1.12742,1.12746,1.12646,1.12697,9327169922
15.07.2019 02:00:00.000,1.12696,1.12718,1.12645,1.12707,10514830078
15.07.2019 03:00:00.000,1.12706,1.12735,1.12643,1.12726,7706669922
15.07.2019 04:00:00.000,1.12725,1.12746,1.12686,1.12725,5508060059
15.07.2019 05:00:00.000,1.12725,1.12743,1.127,1.12733,4134930176
15.07.2019 06:00:00.000,1.12732,1.12784,1.12707,1.12752,10122250000
15.07.2019 07:00:00.000,1.12751,1.1284,1.12716,1.12805,15603799805
15.07.2019 08:00:00.000,1.12805,1.12807,1.127,1.12731,15438509766
15.07.2019 09:00:00.000,1.1273,1.12816,1.12691,1.12792,10957860352
15.07.2019 10:00:00.000,1.12792,1.12841,1.12774,1.12779,9768070313
15.07.2019 11:00:00.000,1.12779,1.12781,1.12616,1.12636,11552040039
15.07.2019 12:00:00.000,1.12636,1.12735,1.12626,1.12659,13894280273
15.07.2019 13:00:00.000,1.12657,1.12714,1.12627,1.12677,16381950195
15.07.2019 14:00:00.000,1.12676,1.12678,1.12561,1.12618,17924679688
15.07.2019 15:00:00.000,1.1262,1.12627,1.12536,1.1259,12432370117
15.07.2019 16:00:00.000,1.1259,1.1264,1.12581,1.12594,7781479980
15.07.2019 17:00:00.000,1.12593,1.12599,1.12543,1.12569,5689029785
15.07.2019 18:00:00.000,1.12569,1.12603,1.12564,1.12592,5210490234
15.07.2019 19:00:00.000,1.12591,1.12594,1.12562,1.12572,5025629883
15.07.2019 20:00:00.000,1.12573,1.12592,1.12566,1.1258,2124399902
15.07.2019 21:00:00.000,1.1258,1.12626,1.12579,1.12618,5563259766
15.07.2019 22:00:00.000,1.12617,1.12635,1.12601,1.12614,2117100098
15.07.2019 23:00:00.000,1.12615,1.12625,1.126,1.126,3222010010
16.07.2019 00:00:00.000,1.126,1.12633,1.12577,1.12587,5315410156
16.07.2019 01:00:00.000,1.12587,1.12614,1.12556,1.12588,8563839844
16.07.2019 02:00:00.000,1.12587,1.12632,1.12573,1.12629,5620720215
16.07.2019 03:00:00.000,1.12629,1.12637,1.12598,1.126,4535910156
16.07.2019 04:00:00.000,1.126,1.12608,1.12589,1.12603,4264720215
16.07.2019 05:00:00.000,1.12602,1.1261,1.1258,1.12587,3744360107
16.07.2019 06:00:00.000,1.12587,1.12621,1.12536,1.12565,10118080078
16.07.2019 07:00:00.000,1.12567,1.12585,1.12455,1.12489,13688860352
16.07.2019 08:00:00.000,1.12489,1.12493,1.12361,1.12454,16267650391
16.07.2019 09:00:00.000,1.12454,1.12459,1.12314,1.12319,13729440430
16.07.2019 10:00:00.000,1.1232,1.1233,1.12179,1.12235,15772240234
16.07.2019 11:00:00.000,1.12235,1.12263,1.12197,1.1222,14038179688
16.07.2019 12:00:00.000,1.12221,1.12235,1.12092,1.12196,21296429688
16.07.2019 13:00:00.000,1.12194,1.12223,1.12121,1.12183,19061500000
16.07.2019 14:00:00.000,1.12184,1.12244,1.12077,1.12239,18039689453
16.07.2019 15:00:00.000,1.12239,1.12244,1.12115,1.12115,13202000000
16.07.2019 16:00:00.000,1.12114,1.12214,1.12093,1.12126,15954769531
16.07.2019 17:00:00.000,1.12126,1.12203,1.12031,1.12101,27379199219
16.07.2019 18:00:00.000,1.12102,1.12112,1.12021,1.12068,10494910156
16.07.2019 19:00:00.000,1.12066,1.12125,1.12043,1.12092,9009440430
16.07.2019 20:00:00.000,1.12093,1.12114,1.1207,1.12111,2547270020
16.07.2019 21:00:00.000,1.12111,1.1213,1.12101,1.12117,2529570068
16.07.2019 22:00:00.000,1.1211,1.12129,1.12108,1.12109,1831020020
16.07.2019 23:00:00.000,1.12108,1.12131,1.12103,1.1212,3078459961
17.07.2019 00:00:00.000,1.1212,1.12125,1.1207,1.12118,7818390137
17.07.2019 01:00:00.000,1.12119,1.12153,1.12106,1.12131,6809529785
17.07.2019 02:00:00.000,1.12131,1.12144,1.1208,1.12125,6371799805
17.07.2019 03:00:00.000,1.12125,1.12152,1.12101,1.12136,5022180176
17.07.2019 04:00:00.000,1.12136,1.12159,1.12132,1.12158,5033990234
17.07.2019 05:00:00.000,1.12159,1.12176,1.12146,1.12161,4719439941
17.07.2019 06:00:00.000,1.12162,1.12162,1.12,1.12026,11435910156
17.07.2019 07:00:00.000,1.12027,1.12131,1.12024,1.12074,14881190430
17.07.2019 08:00:00.000,1.12075,1.1215,1.12071,1.12109,12398440430
17.07.2019 09:00:00.000,1.12108,1.12202,1.12108,1.1217,13046259766
17.07.2019 10:00:00.000,1.12171,1.12194,1.12128,1.12186,10554559570
17.07.2019 11:00:00.000,1.12186,1.12224,1.12168,1.12177,9467639648
17.07.2019 12:00:00.000,1.12176,1.12186,1.12098,1.12118,16063490234
17.07.2019 13:00:00.000,1.12118,1.12211,1.12115,1.12207,13881679688
17.07.2019 14:00:00.000,1.12208,1.12271,1.1215,1.12255,18221640625
