Gmt time,Open,High,Low,Close,Volume
01.01.2018 22:00:00.000,0.78043,0.78173,0.77910,0.78146,1436.3199
01.01.2018 23:00:00.000,0.78140,0.78143,0.77943,0.77987,5022.52
02.01.2018 00:00:00.000,0.77987,0.78129,0.77987,0.78125,3243.8401
02.01.2018 01:00:00.000,0.78123,0.78268,0.78103,0.78188,5189.1699
02.01.2018 02:00:00.000,0.78184,0.78233,0.78179,0.78211,3486.6399
02.01.2018 03:00:00.000,0.78211,0.78344,0.78205,0.78332,3735.98
02.01.2018 04:00:00.000,0.78333,0.78362,0.78297,0.78348,2836.49
02.01.2018 05:00:00.000,0.78348,0.78423,0.78347,0.78394,2829.3201
02.01.2018 06:00:00.000,0.78393,0.78417,0.78339,0.78392,3361.8301
02.01.2018 07:00:00.000,0.78391,0.78444,0.78341,0.78351,4057.1599
02.01.2018 08:00:00.000,0.78351,0.78438,0.78304,0.78385,3674.3899
02.01.2018 09:00:00.000,0.78384,0.78443,0.78332,0.78349,3546.04
02.01.2018 10:00:00.000,0.78347,0.78417,0.78302,0.78377,4021.3301
02.01.2018 11:00:00.000,0.78377,0.78379,0.78214,0.78218,3950.78
02.01.2018 12:00:00.000,0.78221,0.78346,0.78208,0.78275,3308.0801
02.01.2018 13:00:00.000,0.78275,0.78308,0.78154,0.78190,4390.4702
02.01.2018 14:00:00.000,0.78193,0.78251,0.78176,0.78200,4859.21
02.01.2018 15:00:00.000,0.78203,0.78323,0.78203,0.78312,3749.3101
02.01.2018 16:00:00.000,0.78312,0.78331,0.78216,0.78231,4067.4099
02.01.2018 17:00:00.000,0.78231,0.78289,0.78227,0.78236,2970.79
02.01.2018 18:00:00.000,0.78236,0.78274,0.78229,0.78270,1818.8101
02.01.2018 19:00:00.000,0.78269,0.78320,0.78266,0.78311,1886.4399
02.01.2018 20:00:00.000,0.78312,0.78344,0.78277,0.78323,2898.1001
02.01.2018 21:00:00.000,0.78323,0.78339,0.78284,0.78287,1946.84
02.01.2018 22:00:00.000,0.78274,0.78296,0.78244,0.78256,1811.3101
02.01.2018 23:00:00.000,0.78256,0.78363,0.78255,0.78303,2431.02
03.01.2018 00:00:00.000,0.78304,0.78363,0.78241,0.78256,3569.6101
03.01.2018 01:00:00.000,0.78256,0.78314,0.78180,0.78210,4281.6099
03.01.2018 02:00:00.000,0.78210,0.78230,0.78049,0.78069,5100.0698
03.01.2018 03:00:00.000,0.78071,0.78123,0.78050,0.78110,2950.0701
03.01.2018 04:00:00.000,0.78110,0.78167,0.78080,0.78153,3206.9099
03.01.2018 05:00:00.000,0.78152,0.78223,0.78122,0.78219,2498.46
03.01.2018 06:00:00.000,0.78219,0.78242,0.78143,0.78161,3347.6899
03.01.2018 07:00:00.000,0.78164,0.78203,0.78110,0.78202,4346.8301
03.01.2018 08:00:00.000,0.78202,0.78345,0.78147,0.78332,3987.73
03.01.2018 09:00:00.000,0.78332,0.78398,0.78314,0.78339,3335.55
03.01.2018 10:00:00.000,0.78339,0.78370,0.78292,0.78334,3649.5
03.01.2018 11:00:00.000,0.78336,0.78358,0.78315,0.78322,3387.78
03.01.2018 12:00:00.000,0.78322,0.78379,0.78318,0.78332,3302.29
03.01.2018 13:00:00.000,0.78332,0.78431,0.78331,0.78401,3596.9199
03.01.2018 14:00:00.000,0.78399,0.78416,0.78342,0.78376,4568.5698
03.01.2018 15:00:00.000,0.78369,0.78369,0.78242,0.78321,4519.7798
03.01.2018 16:00:00.000,0.78321,0.78396,0.78309,0.78381,3050.1699
03.01.2018 17:00:00.000,0.78382,0.78408,0.78366,0.78407,1992.29
03.01.2018 18:00:00.000,0.78407,0.78444,0.78395,0.78407,2014.91
03.01.2018 19:00:00.000,0.78400,0.78420,0.78247,0.78406,5573.5098
03.01.2018 20:00:00.000,0.78408,0.78445,0.78378,0.78398,3022.4399
03.01.2018 21:00:00.000,0.78399,0.78408,0.78336,0.78337,2702.1101
